kind,id,name,vertex,longitude,latitude
ZONE,aa9d260d-0125-5c81-a99c-4cd24d0ae015,플로어 A,0,126.896904023,37.568274801
ZONE,aa9d260d-0125-5c81-a99c-4cd24d0ae015,플로어 A,1,126.897179186,37.568222218
ZONE,aa9d260d-0125-5c81-a99c-4cd24d0ae015,플로어 A,2,126.897242605,37.568432483
ZONE,aa9d260d-0125-5c81-a99c-4cd24d0ae015,플로어 A,3,126.896967441,37.568485066
ZONE,aa9d260d-0125-5c81-a99c-4cd24d0ae015,플로어 A,4,126.896904023,37.568274801
ZONE,42a03226-5e72-56ab-a513-467f26178744,플로어 B,0,126.897267238,37.568205392
ZONE,42a03226-5e72-56ab-a513-467f26178744,플로어 B,1,126.897542401,37.568152808
ZONE,42a03226-5e72-56ab-a513-467f26178744,플로어 B,2,126.89760582,37.568363072
ZONE,42a03226-5e72-56ab-a513-467f26178744,플로어 B,3,126.897330657,37.568415656
ZONE,42a03226-5e72-56ab-a513-467f26178744,플로어 B,4,126.897267238,37.568205392
ZONE,42a2eb18-ce7f-5e51-8e12-34ded6ad0562,플로어 C,0,126.896822109,37.56800321
ZONE,42a2eb18-ce7f-5e51-8e12-34ded6ad0562,플로어 C,1,126.897097271,37.567950627
ZONE,42a2eb18-ce7f-5e51-8e12-34ded6ad0562,플로어 C,2,126.897158047,37.56815213
ZONE,42a2eb18-ce7f-5e51-8e12-34ded6ad0562,플로어 C,3,126.896882884,37.568204713
ZONE,42a2eb18-ce7f-5e51-8e12-34ded6ad0562,플로어 C,4,126.896822109,37.56800321
ZONE,3c740f3a-b17d-51fd-a5c4-79a7df980e20,플로어 D,0,126.897185323,37.5679338
ZONE,3c740f3a-b17d-51fd-a5c4-79a7df980e20,플로어 D,1,126.897460485,37.567881217
ZONE,3c740f3a-b17d-51fd-a5c4-79a7df980e20,플로어 D,2,126.897521261,37.56808272
ZONE,3c740f3a-b17d-51fd-a5c4-79a7df980e20,플로어 D,3,126.897246099,37.568135304
ZONE,3c740f3a-b17d-51fd-a5c4-79a7df980e20,플로어 D,4,126.897185323,37.5679338
ZONE,d939b2ca-e205-5b3f-832e-b2b78a8bd4fe,무대·백스테이지,0,126.897029964,37.56853798
ZONE,d939b2ca-e205-5b3f-832e-b2b78a8bd4fe,무대·백스테이지,1,126.897580291,37.568432812
ZONE,d939b2ca-e205-5b3f-832e-b2b78a8bd4fe,무대·백스테이지,2,126.897630499,37.568599272
ZONE,d939b2ca-e205-5b3f-832e-b2b78a8bd4fe,무대·백스테이지,3,126.89708017,37.568704439
ZONE,d939b2ca-e205-5b3f-832e-b2b78a8bd4fe,무대·백스테이지,4,126.897029964,37.56853798
ZONE,d4c89036-ca9c-59bc-9c1e-3c6afb0e93e3,음향·조명 운영,0,126.897019331,37.567808
ZONE,d4c89036-ca9c-59bc-9c1e-3c6afb0e93e3,음향·조명 운영,1,126.897173421,37.567778553
ZONE,d4c89036-ca9c-59bc-9c1e-3c6afb0e93e3,음향·조명 운영,2,126.897202488,37.567874924
ZONE,d4c89036-ca9c-59bc-9c1e-3c6afb0e93e3,음향·조명 운영,3,126.897048397,37.567904371
ZONE,d4c89036-ca9c-59bc-9c1e-3c6afb0e93e3,음향·조명 운영,4,126.897019331,37.567808
GATE,beaeddd6-4674-5ca2-ae39-d64e974a496c,데모 서측 입장,0,126.896732726,37.567899833
GATE,5a5d06c9-9275-56a6-90d7-b1849d51896a,데모 동측 입장,0,126.897481165,37.567756807
GATE,8b74a45d-854f-5b4a-8cbd-1695ec96f8c9,데모 운영 진입,0,126.8969767,37.568631552
